lat_long,count
"""-0.180653,-78.467838""",1
"""-12.046374,-77.042793""",1
"""-15.794229,-47.882166""",1
"""-22.906847,-43.172896""",1
"""-23.55052,-46.633309""",6
"""-27.468918,153.003239""",2
"""-33.867487,151.20699""",3
"""-34.603684,-58.381559""",5
"""-36.84846,174.763332""",2
"""-41.28646,174.776236""",2
"""1.331355,103.869278""",1
"""1.352083,103.819836""",2
"""10.643873,-61.36477""",1
"""17.385044,78.486671""",1
"""19.075984,72.877656""",2
"""19.432608,-99.133208""",2
"""21.306944,-157.858333""",8
"""22.396428,114.109497""",1
"""25.29161,51.530437""",1
"""25.657345,-100.40175""",1
"""25.72149,-80.268384""",2
"""25.76168,-80.19179""",14
"""25.819542,-80.35533""",3
"""25.987869,-80.174769""",1
"""26.122439,-80.137317""",1
"""26.479379,-81.780183'",1
"""26.640628,-81.872308""",2
"""26.715342,-80.053375""",5
"""26.823395,-80.138655""",2
"""27.717245,85.323961""",2
"""27.749516,-82.583495""",1
"""27.751828,-82.626734'",7
"""27.800583,-97.396381""",3
"""28.083627,-80.608109""",1
"""28.393619,-81.538684""",1
"""28.535516,77.391026""",2
"""28.538336,-81.379236'",2
"""28.6,-81.339235'",4
"""28.613939,77.209021""",1
"""29.424122,-98.493628""",1
"""29.651634,-82.324826""",9
"""29.760427,-95.369803""",4
"""29.883275,-97.941394""",2
"""29.951066,-90.071532""",8
"""29.984092,-90.152852""",1
"""3.42551,-111.940005""",4
"""30.093274,-95.987734""",1
"""30.22409,-92.019843""",1
"""30.267153,-97.743061""",21
"""30.332184,-81.655651""",3
"""30.421309,-87.216915""",1
"""30.438256,-84.280733""",1
"""31.230416,121.473701""",1
"""31.777576,-106.442456""",3
"""32.0853,34.781768""",2
"""32.298757,-90.18481""",1
"""32.407359,-87.021101""",1
"""32.448788,-81.783167'",1
"""32.715738,-117.161084""",15
"""32.735687,-97.108066""",12
"""32.755488,-97.330766""",1
"""32.776475,-79.931051""",2
"""32.776664,-96.796988""",3
"""32.840695,-83.632402""",3
"""32.855038,-96.797592""",2
"""33.036987,-117.291982""",1
"""33.103174,-96.67055""",1
"""33.158093,-117.350594""",2
"""33.214841,-97.133068""",1
"""33.285669,-86.809989""",1
"""33.352826,-111.789027""",1
"""33.380672,-84.799657""",1
"""33.448377,-112.074037'",1
"""33.448377,-112.074037""",25
"""33.49417,-111.926052""",1
"""33.520661,-86.80249""",4
"""33.600023,-117.671995""",1
"""33.683947,-117.794694""",2
"""33.736062,-118.292246""",2
"""33.748995,-84.387982""",56
"""33.77005,-118.193739""",2
"""33.792239,-118.315072""",1
"""33.830296,-116.545292""",6
"""33.835293,-117.914504""",3
"""33.835849,-118.340629""",5
"""33.849182,-118.388408""",2
"""33.862237,-118.399519""",1
"""33.888349,-118.308962""",5
"""33.916403,-118.352575""",1
"""33.91918,-118.416465""",2
"""33.951935,-83.357567""",5
"""33.952602,-84.549933""",1
"""33.953349,-117.396156""",2
"""33.97279,-118.427578""",1
"""33.989819,-117.732585""",1
"""34.00071,-81.034814""",19
"""34.019454,-118.491191""",25
"""34.021122,-118.396466'",3
"""34.025922,-118.779757""",4
"""34.052234,-118.243685""",179
"""34.055103,-117.749991""",1
"""34.055569,-117.182538""",1
"""34.063344,-117.650888""",3
"""34.068621,-117.938953""",4
"""34.07362,-118.400356""",8
"""34.080565,-118.072846""",1
"""34.090009,-118.361744""",1
"""34.095287,-118.127015""",6
"""34.101487,-84.519375'",1
"""34.133619,-117.907563""",1
"""34.13956,-118.387099""",3
"""34.139769,-118.350578""",14
"""34.146647,-118.807373""",1
"""34.147785,-118.144516""",20
"""34.148972,-118.451357""",4
"""34.151749,-118.521428""",3
"""34.161673,-118.052846""",1
"""34.165357,-118.608975""",3
"""34.180839,-118.308966""",3
"""34.190162,-118.131319""",1
"""34.206818,-118.200028""",1
"""34.216394,-119.037602""",1
"""34.225726,-77.94471""",3
"""34.228754,-118.235119""",1
"""34.238125,-118.530123""",8
"""34.269447,-118.781482""",1
"""34.366495,-89.519248""",1
"""34.420831,-119.69819""",7
"""34.564537,-92.586828""",1
"""34.759453,135.51686""",1
"""34.852618,-82.39401""",1
"""35.085334,-106.605553""",3
"""35.149534,-90.04898""",1
"""35.198284,-111.651302""",1
"""35.222567,-97.439478""",2
"""35.227087,-80.843127""",3
"""35.282752,-120.659616""",2
"""35.46756,-97.516428""",5
"""35.564138,-121.080747""",1
"""35.709026,139.731992""",10
"""35.79154,-78.781117""",1
"""35.880073,-90.167039""",1
"""35.910144,-79.075289""",1
"""35.9132,-79.055845""",11
"""35.960638,-83.920739""",6
"""35.994033,-78.898619""",5
"""36.060949,-95.797453""",1
"""36.072635,-79.791975""",3
"""36.153982,-95.992775""",2
"""36.162664,-86.781602""",5
"""36.169941,-115.13983""",5
"""36.20811,-86.291102""",1
"""36.330228,-119.292058""",1
"""36.600238,-121.894676""",1
"""36.850769,-76.285873""",4
"""37.029869,-76.345222""",1
"""37.27528,-107.880067""",1
"""37.322998,-122.032182""",8
"""37.338208,-121.886329""",5
"""37.36883,-122.03635""",1
"""37.385218,-122.11413""",1
"""37.386052,-122.083851""",13
"""37.424106,-122.166076""",8
"""37.441883,-122.143019""",6
"""37.45296,-122.181725""",14
"""37.485215,-122.236355""",8
"""37.507877,15.08303""",1
"""37.566535,126.977969""",1
"""37.63049,-122.411084""",2
"""37.687176,-97.330053""",2
"""37.687924,-122.470208""",3
"""37.77493,-122.419416""",76
"""37.804364,-122.271114""",15
"""37.831316,-122.285247""",4
"""37.871593,-122.272747""",19
"""37.906037,-122.544976""",1
"""37.916133,-122.310765""",1
"""37.977978,-122.031073""",1
"""38.029306,-78.476678""",1
"""38.040584,-84.503716""",1
"""38.249358,-122.039966""",1
"""38.252665,-85.758456'",2
"""38.440429,-122.714055""",2
"""38.559772,68.787038""",1
"""38.580461,-121.530234""",1
"""38.581572,-121.4944""",12
"""38.615953,-76.613015""",2
"""38.627003,-90.199404""",4
"""38.685737,-121.082167""",1
"""38.722252,-9.139337""",1
"""38.750949,-77.475267""",2
"""38.804836,-77.046921""",3
"""38.833882,-104.821363""",1
"""38.846224,-77.306373""",1
"""38.86832,-107.592002'",1
"""38.881396,-94.819128""",1
"""38.907192,-77.036871""",149
"""38.933868,-77.17726""",37
"""38.953617,-94.733571""",1
"""38.977888,-77.007476""",1
"""38.984652,-77.094709""",7
"""38.990666,-77.026088""",2
"""39.028444,-76.601354""",1
"""39.034832,-76.907474""",2
"""39.097283,-93.617172""",1
"""39.099727,-94.578567""",5
"""39.103118,-84.51202""",8
"""39.165325,-86.526386""",1
"""39.290385,-76.612189""",6
"""39.414269,-77.410541""",1
"""39.529633,-119.813803""",5
"""39.580745,-104.877173""",1
"""39.629526,-79.955897""",2
"""39.640264,-106.374195""",1
"""39.728494,-121.837478""",2
"""39.739236,-104.990251""",8
"""39.758948,-84.191607""",2
"""39.767458,-94.846681""",1
"""39.768403,-86.158068""",4
"""39.904211,116.407395""",4
"""39.952584,-75.165222""",10
"""39.961176,-82.998794""",2
"""4.710989,-74.072092""",3
"""40.014986,-105.270546""",2
"""40.041902,-75.487644""",1
"""40.110588,-88.20727""",1
"""40.15784,-83.075187""",1
"""40.179186,44.499103""",2
"""40.193377,-85.38636""",2
"""40.200547,-74.031416""",1
"""40.202335,-74.012081""",1
"""40.209122,-74.038627""",1
"""40.214257,-77.008588""",1
"""40.409262,49.867092""",1
"""40.416775,-3.70379'",3
"""40.425869,-86.908066""",1
"""40.440625,-79.995886""",1
"""40.484977,-106.831716""",1
"""40.486216,-74.451819""",1
"""40.575382,-74.32237""",3
"""40.58526,-105.084423""",1
"""40.58654,-122.391675""",1
"""40.625932,-75.370458""",6
"""40.678178,-73.944158""",6
"""40.69759,-74.263164""",1
"""40.712784,-74.005941'",1
"""40.712784,-74.005941""",305
"""40.725927,8.555683""",1
"""40.725934,-73.514292""",2
"""40.728157,-74.077642""",3
"""40.735657,-74.172367""",1
"""40.754484,-86.356666""",1
"""40.760779,-111.891047""",6
"""40.793395,-77.860001""",1
"""40.793432,-73.415121""",3
"""40.796767,-74.481544""",2
"""40.825656,-73.698186""",1
"""40.825763,-96.685198""",3
"""40.825901,-74.209005""",1
"""40.911427,-90.647358""",1
"""40.93121,-73.898747""",1
"""41.003672,-80.347009""",2
"""41.033986,-73.76291""",1
"""41.117744,-73.408158""",1
"""41.242856,-73.200664""",1
"""41.252363,-95.997988""",3
"""41.308274,-72.927883""",3
"""41.355654,-72.099521""",1
"""41.49932,-81.694361""",3
"""41.600545,-93.609106'",5
"""41.671765,-72.94927""",5
"""41.700371,-73.92097""",1
"""41.715138,44.827096""",2
"""41.747593,-74.08681""",1
"""41.763711,-72.685093""",3
"""41.808431,-72.249523""",1
"""41.878114,-87.629798""",34
"""41.902784,12.496366""",6
"""41.966765,-71.549507""",1
"""42.033361,-88.083406""",1
"""42.045072,-87.687697""",10
"""42.097002,-79.235326""",1
"""42.110304,-88.03424'",1
"""42.252877,-71.002271'",1
"""42.279755,-71.162676""",1
"""42.280826,-83.743038""",4
"""42.331427,-83.045754""",9
"""42.337041,-71.209221""",1
"""42.353904,-71.133711""",1
"""42.360083,-71.05888""",25
"""42.37093,-71.182832""",1
"""42.373616,-71.109733""",14
"""42.46179,14.21609""",1
"""42.471147,-83.142148""",1
"""42.485093,-71.43284""",1
"""42.51954,-70.896716""",1
"""42.562967,-114.460871""",1
"""42.732535,-84.555535""",1
"""42.866632,-106.313081""",1
"""42.874621,74.569762""",1
"""42.96336,-85.668086""",1
"""42.981429,-70.947755""",1
"""42.99564,-71.454789""",2
"""43.012527,-83.687456""",1
"""43.038903,-87.906474""",2
"""43.044848,-73.630073""",1
"""43.048122,-76.147424""",3
"""43.071755,-70.762553""",1
"""43.073052,-89.40123""",5
"""43.16103,-77.610922""",1
"""43.222015,76.851249""",1
"""43.467517,-79.687666""",2
"""43.548473,10.310567""",1
"""43.64896,-72.319258""",1
"""43.653226,-79.383184""",57
"""43.82311,-111.792424'",1
"""44.052069,-123.086754""",7
"""44.058173,-121.31531""",2
"""44.261931,-88.415385""",3
"""44.475883,-73.212072""",1
"""44.647128,10.925227""",1
"""44.648863,-63.57532""",1
"""44.699487,-73.452912""",1
"""44.724663,-63.690852""",1
"""44.801182,-68.777814""",3
"""44.953703,-93.089958""",7
"""44.977753,-93.265011""",9
"""45.056004,-92.808844""",1
"""45.070312,7.686856""",1
"""45.184725,9.158207""",1
"""45.493488,12.246318""",1
"""45.501689,-73.567256""",5
"""45.523062,-122.676482""",14
"""45.638728,-122.661486""",1
"""46.482526,30.72331""",1
"""46.588371,-112.024505""",2
"""47.010453,28.86381""",3
"""47.252877,-122.444291""",4
"""47.322322,-122.312622""",1
"""47.376887,8.541694""",1
"""47.470377,-122.346792""",1
"""47.60621,-122.332071""",35
"""47.610377,-122.200679""",1
"""47.65878,-117.426047""",1
"""47.673988,-122.121512""",2
"""47.681488,-122.208735""",2
"""48.117039,-122.760447""",1
"""48.208174,16.373819""",2
"""48.824531,2.274342""",1
"""48.856614,2.352222""",5
"""49.282729,-123.120738""",5
"""49.848471,-99.95009""",1
"""49.899754,-97.137494""",2
"""50.075538,14.4378""",2
"""50.4501,30.5234""",6
"""50.85034,4.35171""",1
"""51.048615,-114.070846""",1
"""51.178363,-115.570769""",1
"""51.441642,5.469722""",1
"""51.4982,31.28935""",1
"""51.507351,-0.127758""",16
"""51.769203,-4.464252""",2
"""52.370216,4.895168""",1
"""52.486243,-1.890401""",1
"""52.520007,13.404954""",5
"""53.349805,-6.26031""",7
"""53.544389,-113.490927""",16
"""53.551085,9.993682""",3
"""53.688971,-2.332052""",1
"""54.687156,25.279651""",2
"""55.676097,12.568337""",11
"""55.677069,12.513321""",1
"""55.755826,37.6173""",1
"""56.949649,24.105186""",2
"""58.301944,-134.419722""",1
"""59.220537,10.934701""",2
"""59.329323,18.068581""",3
"""59.436961,24.753575""",2
"""59.913869,10.752245""",17
"""6.524379,3.379206""",1
"""60.173324,24.941025""",7
"""60.391263,5.322054""",1
"""61.218056,-149.900278""",2
"""62.427173,6.310736""",1
"""62.453972,-114.371789""",1
"""62.472228,6.149482""",2
"""9.928069,-84.090725""",3